Colony,Yard,TreatmentCode,GlycerinTowel,OxalicDose,MPB1,MPB2
3,Skink,HOA,T,18,1.09,2.29
5,Skink,HOA,T,18,3,1
6,Skink,HOA,T,18,4.74,5.54
7,Skink,HOA,T,18,1,0.67
8,Skink,HOA,T,18,2,1.67
9,Skink,HOA,T,18,1,0.33
10,Skink,HOA,T,18,0.33,0
11,Skink,HOA,T,18,6,1
12,Skink,HOA,T,18,0,0.4
13,Skink,HOA,T,18,4.67,6
14,Skink,HOA,T,18,2.15,2.48
15,Skink,HOA,T,18,0.67,0.33
16,Skink,HOA,T,18,5.47,9.69
17,Skink,HOA,T,18,1.94,0.32
18,Skink,HOA,T,18,0.67,0
19,Skink,HOA,T,18,1.67,1
20,Skink,HOA,T,18,1.33,1
23,Skink,MOA,T,12,3.32,1.95
24,Skink,MOA,T,12,5.4,4.59
26,Skink,MOA,T,12,7.02,14.32
27,Skink,MOA,T,12,3.53,5.78
28,Skink,MOA,T,12,0.67,1
29,Skink,MOA,T,12,2.33,4.33
32,Skink,MOA,T,12,0.67,1
33,Skink,MOA,T,12,1,0.33
35,Skink,MOA,T,12,1.33,0.33
36,Skink,MOA,T,12,0.37,3.78
38,Skink,MOA,T,12,0.67,1.67
39,Skink,MOA,T,12,2.67,2
40,Skink,MOA,T,12,0.33,0.33
43,Skink,MOA,T,12,3.79,11.46
46,Skink,MOA,T,12,5.74,0.14
47,Skink,0OA,T,0,1.51,8.49
48,Skink,0OA,T,0,5.94,4.42
53,Skink,0OA,T,0,0.43,0
56,Skink,0OA,T,0,0.59,1.48
59,Skink,0OA,T,0,1.35,3.33
60,Skink,0OA,T,0,0.63,1.85
62,Skink,0OA,T,0,0.21,0.31
64,Skink,0OA,T,0,11.08,10.75
71,Skink,0OA,T,0,0.67,2.67
74,Skink,CTRL,F,0,0,0.33
76,Skink,CTRL,F,0,1.67,2.67
77,Skink,CTRL,F,0,1,0.33
85,Skink,CTRL,F,0,16,0.33
86,Skink,CTRL,F,0,1,2.67
89,Skink,CTRL,F,0,2.33,8.67
90,Skink,CTRL,F,0,2.5,1.33
91,Skink,CTRL,F,0,2.67,14.67
92,Skink,CTRL,F,0,0,0.67
93,Skink,CTRL,F,0,0.67,1.33
99,Mudhole,0OA,T,0,1.02,0.72
100,Mudhole,0OA,T,0,2.26,1.37
101,Mudhole,0OA,T,0,4.38,1.5
102,Mudhole,0OA,T,0,0.62,0.53
103,Mudhole,0OA,T,0,0.27,0.17
104,Mudhole,0OA,T,0,1.15,1.13
105,Mudhole,0OA,T,0,2.48,0.2
106,Mudhole,0OA,T,0,1.51,0
108,Mudhole,0OA,T,0,7.33,7
109,Mudhole,CTRL,F,0,1.97,9.88
110,Mudhole,CTRL,F,0,2,2
111,Mudhole,CTRL,F,0,1.67,7.33
112,Mudhole,CTRL,F,0,6.67,6.33
113,Mudhole,CTRL,F,0,1.72,0.93
115,Mudhole,CTRL,F,0,2.82,5.62
116,Mudhole,CTRL,F,0,0.85,5.37
117,Mudhole,CTRL,F,0,0.33,0
118,Mudhole,CTRL,F,0,0.33,0.33
119,Mudhole,CTRL,F,0,3.41,9.46
120,Mudhole,CTRL,F,0,1.67,2
121,Mudhole,CTRL,F,0,1,1.33
122,Mudhole,CTRL,F,0,1.61,2.92
124,Mudhole,HOA,T,18,0.22,0.9
125,Mudhole,HOA,T,18,0.5,0.22
126,Mudhole,HOA,T,18,1,0.33
128,Mudhole,HOA,T,18,5.33,0.67
130,Mudhole,HOA,T,18,0.33,1
131,Mudhole,HOA,T,18,0.33,0
132,Mudhole,HOA,T,18,1,1.33
134,Mudhole,HOA,T,18,7.76,0
137,Mudhole,MOA,T,12,2.33,0.67
138,Mudhole,MOA,T,12,2.33,1
139,Mudhole,MOA,T,12,6.01,12.95
140,Mudhole,MOA,T,12,8.09,10.18
141,Mudhole,MOA,T,12,0.67,0.33
142,Mudhole,MOA,T,12,3.48,3.36
143,Mudhole,MOA,T,12,1.43,0
144,Mudhole,MOA,T,12,0.87,0
145,Mudhole,MOA,T,12,5.72,6.53
146,Mudhole,MOA,T,12,1,1.67
147,Mudhole,MOA,T,12,0,0.67
148,Mudhole,MOA,T,12,1.94,0.52
150,Pickers,HOA,T,18,1.01,2.16
151,Pickers,HOA,T,18,0,0
152,Pickers,HOA,T,18,3.07,4.58
153,Pickers,HOA,T,18,0.75,0.18
154,Pickers,HOA,T,18,0,0.33
155,Pickers,HOA,T,18,1.67,0.33
156,Pickers,HOA,T,18,0.33,0.53
157,Pickers,HOA,T,18,3.52,1.11
158,Pickers,0OA,T,0,0,0.54
159,Pickers,0OA,T,0,3.25,5.04
160,Pickers,0OA,T,0,1.18,1.61
161,Pickers,0OA,T,0,2.12,1.22
162,Pickers,0OA,T,0,1.15,1.15
163,Pickers,0OA,T,0,1.37,3.48
164,Pickers,0OA,T,0,6.85,11.3
165,Pickers,0OA,T,0,0,0.21
166,Pickers,MOA,T,12,1.33,1.33
168,Pickers,MOA,T,12,0.67,0
170,Pickers,MOA,T,12,1.15,0.4
171,Pickers,MOA,T,12,0.67,0
172,Pickers,MOA,T,12,1.14,0.61
178,Sandtrap,HOA,T,18,1.02,1.28
179,Sandtrap,HOA,T,18,0.89,1.49
180,Sandtrap,HOA,T,18,0.24,0.31
181,Sandtrap,HOA,T,18,1.56,1.44
182,Sandtrap,MOA,T,12,0.5,1.5
183,Sandtrap,MOA,T,12,1.04,2.87
184,Sandtrap,MOA,T,12,0.33,0.33
185,Sandtrap,MOA,T,12,3,3
187,Sandtrap,HOA,T,18,0.53,0.53
190,Sandtrap,MOA,T,12,0,0
191,Sandtrap,MOA,T,12,0.24,1.29
192,Sandtrap,MOA,T,12,0,0
193,Sandtrap,CTRL,F,0,1.67,1.33
197,Sandtrap,0OA,T,0,0.94,1.21
199,Sandtrap,0OA,T,0,0.5,0.52
